COD_GERAL;COD_AREA;Status Simplificado;AREA_NOME
CHF0010001A;CHF;Imóvel Selado;Chácara Flórida
CHF0010002A;CHF;Imóvel Selado;Chácara Flórida
CHF0010003A;CHF;Imóvel Selado;Chácara Flórida
CHF0010004A;CHF;Imóvel Selado;Chácara Flórida
CHF0010004B;CHF;Imóvel Selado;Chácara Flórida
CHF0010005A;CHF;Imóvel Selado;Chácara Flórida
CHF0010006A;CHF;Imóvel Selado;Chácara Flórida
CHF0010007A;CHF;Imóvel Selado;Chácara Flórida
CHF0010008A;CHF;Imóvel Selado;Chácara Flórida
CHF0010009A;CHF;Imóvel Selado;Chácara Flórida
CHF0010010A;CHF;Imóvel Selado;Chácara Flórida
CHF0010011A;CHF;Imóvel Selado;Chácara Flórida
CHF0010011B;CHF;Imóvel Selado;Chácara Flórida
CHF0010011C;CHF;Imóvel Selado;Chácara Flórida
CHF0010011D;CHF;Imóvel Selado;Chácara Flórida
CHF0010011E;CHF;Imóvel Selado;Chácara Flórida
CHF0010011F;CHF;Imóvel Selado;Chácara Flórida
CHF0010011G;CHF;Imóvel Selado;Chácara Flórida
CHF0010011H;CHF;Imóvel Selado;Chácara Flórida
CHF0010011I;CHF;Imóvel Selado;Chácara Flórida
CHF0010011J;CHF;Imóvel Selado;Chácara Flórida
CHF0010011K;CHF;Imóvel Selado;Chácara Flórida
CHF0010011L;CHF;Imóvel Selado;Chácara Flórida
CHF0010011M;CHF;Imóvel Selado;Chácara Flórida
CHF0010011N;CHF;Imóvel Selado;Chácara Flórida
CHF0010011O;CHF;Imóvel Selado;Chácara Flórida
CHF0010011P;CHF;Imóvel Selado;Chácara Flórida
CHF0010012A;CHF;Imóvel Selado;Chácara Flórida
CHF0010012B;CHF;Imóvel Selado;Chácara Flórida
CHF0010012C;CHF;Imóvel Selado;Chácara Flórida
CHF0010012D;CHF;Imóvel Selado;Chácara Flórida
CHF0010012E;CHF;Imóvel Selado;Chácara Flórida
CHF0010012F;CHF;Imóvel Selado;Chácara Flórida
CHF0010013A;CHF;Imóvel Selado;Chácara Flórida
